plate,part,posX,posY,rotation
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,8,11.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,28.5,90
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Guidler_Door_x1.STL,11,56,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,83.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,92.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,101.5,90
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Mount_Bracket_x1.STL,16,97,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_B_Drive_Tensioner_x1.STL,17,146,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Belt_Retension_Block_x1.stl,29.5,13,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,181.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_A_Drive_Tensioner_x1.STL,17,213,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,15.5,259,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,30,38.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Endstop_Mount_x1.STL,31.5,67,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,35.5,96,90
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_Shuttle_x1.STL,16.5,164,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Leadscrew_Spacer_x1.STL,6.5,281,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,14,224.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Endstop_Strike_Block_x1.STL,33.5,123,90
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_x1.STL,51.5,41,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,43.5,190,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,52,70,0
