plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,13.5,24.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,11,66.5,270
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,13.5,108,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,15,153,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,4.5,180.5,180
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,32.5,204.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,4.5,198.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,33,54.5,270
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,20.5,105.5,0
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,38,17.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,44.5,97.5,270
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,25.5,152.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,46,139.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,55,53.5,270
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,72,13,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,69,89.5,270
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,28.5,198.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,68,125.5,270
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,77,43.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,68,168,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,75,215.5,0
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,38,166.5,270
