plate,part,posX,posY,rotation
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_left.stl,6,8,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_guidler.stl,11,41,0
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_left.stl,13.5,89,270
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_right.stl,20.5,10.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,131,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,10.5,167,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,14.5,84.5,180
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_latch.stl,14,207.5,0
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_belt_clamp_x2.stl,4.5,237.5,180
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,35,33,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,37.5,76,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,32.5,131,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,32.5,167,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,27.5,240.5,180
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_lever_left.stl,25.5,204.5,270
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\Direct_Feed\[a]_connector_cover_V1.8.stl,63,21,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,59.5,60,90
1,D:\Voron\Voron-1\STLs\Gantry\X_Axis\X_Carriage\[a]_blower_housing_front.stl,67,124.5,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_z_shaft_retainer_x8.stl,45.5,203,90
1,D:\Voron\Voron-1\STLs\Bed\[a]_leadscrew_block_x2.stl,59,235,90
1,D:\Voron\Voron-1\STLs\Electronics_Brackets\Rear_Electronics_Enclosure\[a]_latch_right.stl,18.5,97.5,270
1,D:\Voron\Voron-1\STLs\Gantry\Front_Idler\[a]_tensioner_right.stl,67,168,180
