plate,part,posX,posY,rotation
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\XY Joints\[a]_endstop_pod_microswitch.stl,16.5,29.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Idlers\[a]_z_tensioner_x4_9mm.stl,15.5,78.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\AB_Drive_Units\[a]_z_chain_retainer_bracket_x2.stl,4.5,108,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_z_drive_baseplate_b_x2.stl,17.5,140,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_belt_tensioner_a_x2.stl,10.5,182,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\[a]_belt_clamp_x2.stl,14.5,90.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_belt_tensioner_b_x2.stl,11,218,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_upper_x4.stl,10.5,252,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\Front_Idlers\[a]_tensioner_left.stl,13.5,290,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_upper_x4.stl,21.5,199.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\Front_Idlers\[a]_tensioner_right.stl,44,39.5,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_lower_x4.stl,32,176,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_upper_x4.stl,42.5,78,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_belt_tensioner_b_x2.stl,32,106.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\[a]_blower_housing_front.stl,49,241.5,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\[a]_belt_clamp_x2.stl,4.5,322.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_lower_x4.stl,21,290,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_belt_tensioner_a_x2.stl,45.5,137,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\Direct Feed\[a]_guidler.stl,34,325,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_z_drive_baseplate_a_x2.stl,60.5,166,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_upper_x4.stl,55.5,36.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_z_drive_baseplate_b_x2.stl,71.5,85,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_lower_x4.stl,50,199.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\Direct Feed\[a]_latch.stl,72,40,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\AB_Drive_Units\[a]_z_chain_retainer_bracket_x2.stl,43,4.5,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Idlers\[a]_z_tensioner_x4_9mm.stl,47.5,290.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\AB_Drive_Units\[a]_cable_cover.stl,87,162,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Drive\[a]_z_drive_baseplate_a_x2.stl,103.5,22,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Idlers\[a]_z_tensioner_x4_9mm.stl,79.5,290.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\X_Axis\X Carriage\Direct Feed\[a]_connector_cover.stl,104,72,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Z_Idlers\[a]_z_tensioner_x4_9mm.stl,88.5,249.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Gantry\[a]_z_belt_clip_lower_x4.stl,71,320.5,180
