plate,part,posX,posY,rotation
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\side_skirt_b_250_x2.stl,34,39.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\side_skirt_a_250_x2.stl,34,119.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\front_rear_skirt_a_250_x2.stl,34.5,211,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\front_rear_skirt_b_250_x2.stl,103.5,51,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\side_skirt_b_250_x2.stl,78.5,225.5,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\side_skirt_a_250_x2.stl,103,141.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\front_rear_skirt_a_250_x2.stl,142,197.5,0
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\250\front_rear_skirt_b_250_x2.stl,172.5,51,270
