plate,part,posX,posY,rotation
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\front_rear_skirt_b_350_x2.stl,34.5,76,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\side_skirt_b_350_x2.stl,65,186,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\side_skirt_a_350_x2.stl,103,64.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\side_skirt_a_350_x2.stl,172,64.5,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\front_rear_skirt_b_350_x2.stl,154,210,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\side_skirt_b_350_x2.stl,194.5,136.5,90
2,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\front_rear_skirt_a_350_x2.stl,34.5,76,270
2,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\350\front_rear_skirt_a_350_x2.stl,46,187,90
