plate,part,posX,posY,rotation
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\front_rear_skirt_b_300_x2.stl,34.5,63.5,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\side_skirt_b_300_x2.stl,34,179,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\side_skirt_a_300_x2.stl,90.5,34,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\side_skirt_b_300_x2.stl,91,116.5,90
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\side_skirt_a_300_x2.stl,103,203,180
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\front_rear_skirt_b_300_x2.stl,178.5,63.5,270
1,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\front_rear_skirt_a_300_x2.stl,178.5,190.5,270
2,D:\Voron\Voron-2\STLs\VORON2.4\Skirts\300\front_rear_skirt_a_300_x2.stl,34.5,63.5,270
