plate,part,posX,posY,rotation
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\left_xy_joint_bottom_Rev1.STL,73,171,0
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\right_xy_joint_bottom_Rev1.STL,94,25,90
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\x_carriage_frame_lhs_x1_Rev1.STL,111,101,0
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\connector_cover_b_x1_Rev1.stl,113.5,241,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\X_Carriage\connector_cover_a_x1_Rev1.stl,125.5,178,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_mirror_a_x2_Rev1.STL,144.5,80,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_mirror_a_x2_Rev1.STL,163,23,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_a_x2_Rev1.STL,160.5,221,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Drive\HD_Z_Drive\frame_a_x2_Rev1.STL,166,123,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\left_xy_joint_middle_Rev1.STL,176.5,173.5,90
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\right_xy_joint_middle_Rev1.STL,196,66.5,90
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\right_xy_joint_top_Rev1.STL,192,258,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Front_Idlers\front_idler_a_upper_x1_Rev1.STL,207.5,201,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Front_Idlers\front_idler_b_upper_x1_Rev1.STL,221.5,94,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Front_Idlers\front_idler_a_lower_x1_Rev1.STL,226.5,28,90
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\XY_Joints\xy_joint_microswitch_endstop_board_cover_x1_Rev1.STL,227,143,0
2,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\front_drive_plate_rev1.STL,247.5,73.5,0
2,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\rear_drive_plate_rev1.STL,235.5,257,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Z_Endstop\keyed_back_panel_x1_Rev1.STL,63.5,222,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_bottom_x4_Rev1.STL,239.5,179.5,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_bottom_x4_Rev1.STL,240.5,215.5,180
2,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\left_side_plate_a_rev1.stl,92,275.5,0
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_top_x4_Rev1.STL,24.5,209.5,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_top_x4_Rev1.STL,48,261.5,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_top_x4_Rev1.STL,72.5,91.5,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Gantry\Z_Bearing_Blocks\z_bearing_block_top_x4_Rev1.STL,147.5,267.5,180
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Tools\rail_installation_guide_center_x2_Rev1.stl,25.5,125.5,270
2,D:\Voron\Legacy\Voron-2.2\STLs\VORON2.2\Tools\rail_installation_guide_center_x2_Rev1.stl,83.5,134.5,270
2,D:\Voron\Mobius-Extruder\STLs\VORON_Mobius3dot1_Extruder\top_plate_rev1.stl,9,165,0
