plate,part,posX,posY,rotation
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Belt_Retension_Block_x1.stl,12.5,13,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Endstop_Mount_x1.STL,8.5,43,270
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_Shuttle_x1.STL,6.5,74,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Endstop_Strike_Block_x1.STL,6.5,96,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4.5,108,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4.5,117,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,8,133.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,16,161.5,270
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_x1.STL,21.5,87,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,11.5,190,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,15.5,86,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_A_Drive_Tensioner_x1.STL,34,32,180
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Mount_Bracket_x1.STL,18.5,218,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,13.5,107,270
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Guidler_Door_x1.STL,22.5,245,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_B_Drive_Tensioner_x1.STL,45.5,68.5,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,13.5,116,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,33,123.5,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,32,187.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Leadscrew_Spacer_x1.STL,34.5,146.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4.5,256,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,56.5,12,90
