plate,part,posX,posY,rotation
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,15.5,16,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,34.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,43.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,4,52.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Endstop_Strike_Block_x1.STL,6.5,65,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Tensioner_Knob_x2.STL,15.5,87,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,8,114.5,180
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Mount_Bracket_x1.STL,18.5,143,0
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,14,15.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,20.5,44,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Endstop_Mount_x1.STL,8.5,175,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Belt_Retension_Block_x1.stl,12.5,205,270
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_B_Drive_Tensioner_x1.STL,17,249,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Z_Leadscrew_Spacer_x1.STL,20.5,63,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,14,86.5,90
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Guidler_Door_x1.STL,11,303,0
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_x1.STL,24,170,180
1,D:\Voron\Voron-0\VORON_Pocketwatch\STLs\[a]_Latch_Shuttle_x1.STL,20,121.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_9mm_Printed_Spacer_x6.STL,34,4.5,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Front_x2.STL,38.5,62,90
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_Foot_Rear_x2.STL,41,20.5,180
1,D:\Voron\Voron-0\VORON-0\STLs\[a]_A_Drive_Tensioner_x1.STL,43,104,180
